UnixTime,temperature,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:10MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:80MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:120MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:180MTR
1713625200,-1.7,28.2,32.7,33.4,33.6
1713628800,-2.3,24.1,28.1,29,29.6
1713632400,-3.3,20,23.6,24.6,25.2
1713636000,-4.6,12.4,15.6,16.6,17.3
1713639600,-5.6,4.9,8.4,10.1,11.5
1713643200,-6,2.9,6.1,7.6,9.7
1713646800,-6.3,1.5,4.7,6.1,7.9
1713650400,-6.8,1.5,3.3,4.5,6.4
1713654000,-7,1.5,3.3,5.2,7.2
1713657600,-7.6,3.7,5.6,6.7,7.6
1713661200,-7.5,3.1,5.5,7.1,8.3
1713664800,-7.4,1.3,4,5.5,6.6
1713668400,-7.2,7,8.9,9.7,10.8
1713672000,-7.3,7.2,10,10.7,12
1713675600,-7.5,4.3,6.9,7.9,9.2
1713679200,-7,6.5,7.8,8.8,9.7
1713682800,-5.7,9.2,10,10.2,9.6
1713686400,-4.6,9.8,10.3,10.3,10
1713690000,-3.7,11.5,12,11.8,11.5
1713693600,-3.1,12.9,13.6,13.1,13.1
1713697200,-2.6,15.1,16.3,16,15.7
1713700800,-2,19.2,21.2,21.4,21.1
1713704400,-1.7,23.3,26,26.1,25.9
1713708000,-1.6,24.9,28.1,28.5,28.7
1713711600,-2,23.8,27,27.3,27.2
1713715200,-2.7,14.6,16.3,16.7,16.7
1713718800,-4.6,14.1,15.6,16,15.6
1713722400,-6.5,9,10.5,10.9,11.3
1713726000,-6.9,6.6,8,8.9,9.9
1713729600,-7.3,6.9,8.4,8.7,9.2
1713733200,-7.1,7,7.8,8.2,8.5
1713736800,-7.2,4.6,4.8,5.1,5.5
1713740400,-7.4,4.3,4.6,4.6,5.2
1713744000,-8.7,6,7.8,8.4,9.4
1713747600,-9,4.9,5.7,6.5,7.1
1713751200,-9.4,5.7,6.2,6.5,6.5
1713754800,-9.6,5.4,6.4,6.6,7.4
1713758400,-9.9,3.6,4.1,4.8,5.4
1713762000,-10.3,1.3,1.6,1.9,2.9
1713765600,-9.7,4.3,4.8,4.8,5.1
1713769200,-8.8,6.9,7.4,7.9,8.2
1713772800,-7.8,7.1,8.2,8.4,8.8
1713776400,-7.7,4.7,5,4.9,5.1
1713780000,-7,4.1,4.7,4.5,4.7
1713783600,-6.5,10.9,11.2,11.2,10.8
1713787200,-6.8,3.9,3.9,3.7,3.2
1713790800,-6.5,5.9,7.4,7.9,8.4
1713794400,-7.5,3.9,4.5,4.8,4.8
1713798000,-7.7,8.1,9.2,9.9,10.2
1713801600,-7.2,9,10.5,10.9,11.6
1713805200,-7.4,10.5,12.1,12.6,13.2
1713808800,-7.9,10.2,11.7,11.9,12.6
1713812400,-8.5,7.4,8,8.4,8.8
1713816000,-8.7,8.4,9.4,10.1,10.3
1713819600,-9.1,6.4,7.6,7.7,8
1713823200,-9.5,3.5,4.2,5.2,6.6
1713826800,-9.7,2.2,2.9,3.6,5.4
1713830400,-10.1,2.6,3.6,4.1,5.4
1713834000,-10.4,1.3,2.1,2.9,4.3
1713837600,-10.6,1.8,2.5,3.3,5.8
1713841200,-10.3,2.5,3.2,4.5,6.4
1713844800,-10.3,4.3,5,6.1,7.6
1713848400,-10.4,4.7,5.5,6.3,7.6
1713852000,-9.7,7.7,8.2,8.5,9
1713855600,-8.7,10.8,12.1,12.2,12.4
1713859200,-8.2,11.6,12.9,13,13.2
1713862800,-7.5,10.7,11.6,11.7,11.8
1713866400,-6.8,12.4,13.1,13,13
1713870000,-5.9,14.5,15.5,15.4,15.2
1713873600,-5.5,20.3,22.2,22.3,22.1
1713877200,-6.9,16.6,18.4,18.7,18.7
1713880800,-5.4,15.9,17.3,17.8,17.9
1713884400,-4.9,10.1,10.9,11.3,11.3
1713888000,-6.1,14.3,16.5,16.8,17.1
1713891600,-6.2,12.2,13.7,14,14.8
1713895200,-6.8,10,11.4,11.5,11.7
1713898800,-7.3,8,9.5,10.5,11.2
1713902400,-7.9,8.3,10.1,11,12
1713906000,-8.2,4,5.8,6.5,9.1
1713909600,-8.4,4,5.4,7.2,9.9
1713913200,-8.5,2.3,4,5.4,7.7
1713916800,-9.9,1.4,3.6,5.5,7.8
1713920400,-10,2.3,4.4,5.8,7.6
1713924000,-10.4,0.8,3.3,4.7,6.1
1713927600,-10.7,2.3,4.5,5.8,7.4
1713931200,-10.7,1.1,3.4,5.2,7
1713934800,-10.9,3.4,3.3,4.5,6.2
1713938400,-9,2.1,3.6,4.7,6.2
1713942000,-7.4,4,4.7,5,5.4
1713945600,-6.2,8.2,8.9,8.8,9.4
1713949200,-5,9.6,10.5,10.4,10.7
1713952800,-4,11.3,11.6,11.8,11.6
1713956400,-3.3,11.4,11.9,11.8,11.6
1713960000,-2.9,12.1,12.6,12.4,12.2
1713963600,-2.4,12.1,12.6,12.6,12.3
1713967200,-1.9,14.2,14.8,14.8,14.4
1713970800,-2.1,13.7,14.5,14.5,14.2
1713974400,-2.8,13,14.2,14.2,13.9
1713978000,-4.1,11.9,13,13,12.9
1713981600,-5.1,8.3,9.4,9.4,9.7
1713985200,-6.1,6.5,7.6,7.9,8.3
1713988800,-6.7,4,4.7,5,5.8
1713992400,-7.1,2.2,2.5,2.9,3.3
1713996000,-7.4,1.8,2.5,3.3,3.6
1713999600,-7.8,2.3,2.9,3.5,4.6
1714003200,-8,3.5,5,5.7,6.7
1714006800,-8.2,1.8,3.6,4.4,5.2
1714010400,-8.4,0.8,1.8,2.8,3.7
1714014000,-8.3,2.8,4.3,5.4,6.5
1714017600,-8.5,3.1,4.4,5.4,6.1
1714021200,-8.7,1.5,2.7,3.6,4.8
1714024800,-7.7,0.8,0.8,1.5,2.6
1714028400,-6.6,3.1,3.4,3.4,3.3
1714032000,-5.6,4.1,4.1,4.1,3.6
1714035600,-4.8,6.4,6.4,5.9,5.6
1714039200,-4.1,7.9,7.7,7.4,6.9
1714042800,-3.4,10,10.1,9.9,9.4
1714046400,-2.7,13,13.6,13.3,12.9
1714050000,-2.1,18.6,19.6,19.4,18.9
1714053600,-2,18.9,20.3,20.5,20.4
1714057200,-2.1,19.7,21.5,21.4,21.6
1714060800,-2.7,18.1,20.2,20.1,20.4
1714064400,-3.4,14.9,17,17.3,17.3
1714068000,-4.8,8.6,9.7,10.1,10.5
1714071600,-5.5,3.6,4.3,4.3,5
1714075200,-5.6,2.4,3,3.7,4.3
1714078800,-5.9,2.6,3.8,4.6,4.9
1714082400,-6.1,3.2,4.5,4.8,4.8
1714086000,-6.4,2.6,3.1,3.3,3.6
1714089600,-6.7,2.5,2.3,2.3,1.8
1714093200,-6.6,2.9,3,3,3.1
1714096800,-6.7,2.3,2.1,2.3,2.8
1714100400,-6.1,4.1,4.4,4.6,4.6
1714104000,-6.3,4.3,4.7,5,5
1714107600,-6.2,4.5,4.8,5.2,5.2
1714111200,-5.7,5.2,5.6,5.9,6.3
1714114800,-5,5.9,6.6,6.9,6.9
1714118400,-4.2,6.5,7.2,7.4,7.8
1714122000,-4.1,7.9,9,9.4,9.7
1714125600,-3.8,8.6,10.1,10.5,10.9
1714129200,-4,7.6,8.4,8.8,9.5
1714132800,-3.9,9.4,10.4,11.2,11.9
1714136400,-3.8,10.9,12.4,13.1,14
1714140000,-3.5,14.1,16.7,17.4,18.2
1714143600,-3.4,10.5,11.9,12.6,13.3
1714147200,-3.5,8,8.7,9.4,9.7
1714150800,-3.7,6.3,7.2,7.6,7.9
1714154400,-3.9,6.6,7.5,7.8,7.9
1714158000,-3.9,8.4,9.5,9.9,10.2
1714161600,-4.1,7.9,9.4,9.7,10.1
1714165200,-4.4,8.4,9.8,10.5,10.9
1714168800,-4.6,8.3,10.5,10.8,11.5
1714172400,-4.6,10.2,12.9,13.6,14.2
1714176000,-5.1,13.9,17.6,18.2,18.8
1714179600,-4.9,17.6,21.9,23,24
1714183200,-4.8,17.5,22.2,23.6,24.9
1714186800,-4.7,19.3,23.4,24.4,25.5
1714190400,-4.8,20.2,24.6,25.7,26.7
1714194000,-4.8,16.7,21.1,22.1,23.1
1714197600,-4.2,15.8,19.7,21.1,22.1
1714201200,-3.4,17.3,21.1,22.6,23.6
1714204800,-2.5,17.6,21.1,22.2,23.2
1714208400,-1.5,20.5,24.3,25.5,26.3
1714212000,-0.5,23.4,27.3,28.4,29.1
1714215600,-0.1,27.4,32.4,33.5,34.3
1714219200,0.3,27.4,32.5,33.6,34.8
1714222800,0.5,28.8,34.5,35.6,36.7
1714226400,0.2,29.8,36.1,37.8,39.3
1714230000,0.3,36.1,44.5,46.3,47.7
1714233600,-0.1,39.1,48.7,50.9,52.3
1714237200,-0.9,36.1,45,47.4,49.4
1714240800,-1.5,33.5,41.3,43.8,45.5
1714244400,-1.9,33.4,40.5,42.7,44.8
1714248000,-2,31.6,38.3,40.3,42.4
1714251600,-2,28.8,34.9,36.9,38.9
1714255200,-2.3,32.4,39.8,42.1,44.5
1714258800,-2.2,35.2,43.3,46,48.8
1714262400,-2.7,34.5,43.9,46.7,48.7
1714266000,-2.4,30.6,39.5,42.3,44.7
1714269600,-2.2,29.2,38.9,41.8,45
1714273200,-3.1,29.3,37.1,39.1,40.8
1714276800,-2.9,24.9,31.8,33.5,34.8
1714280400,-2.6,15.7,21.3,23,24.8
1714284000,-2.2,10.8,14.8,16.2,17.7
1714287600,-2.1,8.5,12.1,13.3,14.7
1714291200,-2,8.9,13.3,14.8,16.6
1714294800,-1.8,28.5,38.3,41.5,44.3
1714298400,-1.8,33.4,44.7,48.2,51
1714302000,-1.8,34.4,45.8,49,51.8
1714305600,-1.6,28.7,38.8,41.7,44.4
1714309200,-1.5,25.7,34.8,37.2,39.7
1714312800,-0.5,18.9,25.3,27.4,29.3
1714316400,-0.3,15.5,20.9,22.8,24.6
1714320000,-0.3,14.5,19.5,21.1,22.6
1714323600,-0.1,14.2,19.5,20.9,22.4
1714327200,-0.2,14.8,20.1,21.6,23
1714330800,-0.6,16.5,22,23.9,25
1714334400,-0.7,17,22.5,24.4,25.5
1714338000,-0.7,17,22.7,24.4,26
1714341600,-1,21.8,29.2,31.3,33.2
1714345200,-0.8,24.7,33.3,36,38.3
1714348800,-0.8,21.9,30.2,32.3,33.7
1714352400,-0.8,21.9,29.8,32,33.4
1714356000,-0.6,14.2,20.7,22.5,24.4
1714359600,-0.6,13.9,20.4,22.1,23.2
1714363200,-1,11.3,16.5,18,18.9
1714366800,-1.1,8.9,13,13.8,14.3
1714370400,-0.3,8.4,12,13,13.7
1714374000,0.2,8.4,11.8,12.5,13.2
1714377600,1,8.2,11.2,12.3,13
1714381200,2,9.2,12,13,13.7
1714384800,2.5,11.6,15.1,15.8,16.8
1714388400,2.9,16.5,21.2,22.4,23.4
1714392000,3.4,18.5,24.7,25.7,26.7
1714395600,3.2,20.4,26.9,28.2,29.2
1714399200,2.7,14.8,19.7,21.3,22.3
1714402800,2.3,15.7,21.4,22.9,24.2
1714406400,2,15.1,20.5,22.3,23.3
1714410000,1.7,15,20.7,22,23.3
1714413600,1.3,15.8,21.6,22.9,24.2
1714417200,0.8,18.2,25.3,26.9,28.7
1714420800,0.6,18.6,25.9,27.7,29.3
1714424400,0.4,19.9,27.7,29.5,31.3
1714428000,0.3,22,30.1,32.4,33.9
1714431600,0.3,23,31.3,33.4,35.2
1714435200,0.8,23.8,30.2,31.8,33.1
1714438800,0.8,21.3,27.2,28.4,29.5
1714442400,0.7,16.9,22.4,23.7,24.7
1714446000,0.8,18.4,23.8,25.1,26.1
1714449600,0.8,18.7,24.3,25.6,27.2
1714453200,0.6,17.5,23,24.6,25.6
1714456800,0.8,18.5,24.5,26.1,27.4
1714460400,1.4,19.7,25.5,27.3,28.9
1714464000,1.8,21.3,27.4,29,30.6
1714467600,2.6,21.7,28.2,30.3,31.9
1714471200,3.4,25.3,32.2,33.8,35.6
1714474800,3.3,21.4,27.7,29.8,31.9
1714478400,3.1,24.3,31.9,34.3,36.4
1714482000,3.9,27.5,35.6,37.7,39.5
1714485600,3.7,25.4,33.2,35.3,36.9
1714489200,3.3,25.1,33.5,36.1,38.2
1714492800,2.8,22.7,30.3,32.7,34.7
1714496400,2.2,26.9,36.6,39.2,42
1714500000,1.6,28.8,39.4,42.8,45.9
1714503600,1.2,33.9,46.3,50.4,54
1714507200,0.9,37.3,50.8,54.8,58.2
1714510800,1,34,45.6,49.2,53
1714514400,0.9,31.2,42.5,46.1,49.6
1714518000,1.1,25.6,35.4,38.7,41.7
1714521600,1.1,25.3,35.3,38.3,40.7
1714525200,1,22.4,31.7,34.8,37.5
1714528800,0.5,21.3,30,32.6,35.2
1714532400,0,19.8,27.4,29.6,31.7
1714536000,-0.2,16.5,23.3,25.8,28
1714539600,-0.3,15.1,21.2,23.7,25.8
1714543200,0.2,15.1,21.2,23.4,25.6
1714546800,0.5,14.3,20.1,22.2,24.7
1714550400,0.2,12.9,18,20.2,22
1714554000,0.7,13,18.1,20.2,22.4
1714557600,1.5,18.2,24.8,26.6,28.8
1714561200,1.6,20.6,26.7,28.5,30.1
1714564800,2.8,16.1,19.8,21,22.2
1714568400,3,18.1,22.1,23.3,24.2
1714572000,2.6,14.1,17.6,18.3,19.1
1714575600,1.9,13.7,17.1,18.2,18.9
1714579200,0.9,11.2,14.2,15.4,16.5
1714582800,0.6,9.3,11.5,11.9,12.6
1714586400,-0.1,10.1,13.1,14.2,15
1714590000,-0.5,10.2,13.1,14.2,15.3
1714593600,-0.7,9.5,12.9,14,15
1714597200,-0.5,9.7,13.7,14.8,16.1
1714600800,-0.6,10.4,15.6,17.2,18.7
1714604400,-0.7,11.2,15.8,17.3,18.3
1714608000,-1.3,10.9,16.3,17.7,18.8
1714611600,-2.2,6.9,10.8,11.9,13
1714615200,-2.1,6.1,9,10.1,10.9
1714618800,-2,9.4,13.8,14.8,15.5
1714622400,-2.2,6.6,10,11,11.7
1714626000,-2.3,2.5,3.3,3.8,4.3
1714629600,-2.5,2.5,2.5,2.2,2.1
1714633200,-2.5,6.3,7.4,7.8,7.9
1714636800,-3.7,5.6,7.2,7.4,7.7
1714640400,-3.6,4.3,5.1,5.2,5.5
1714644000,-3.5,5,5.6,5.5,5.4
1714647600,-3.7,6.5,7.6,7.6,7.6
1714651200,-3.7,8,9.8,10,10
1714654800,-3.7,10.1,12.7,13.2,13.2
1714658400,-4,12.5,16.5,17.6,18
1714662000,-4.1,13,16.8,17.3,18.2
1714665600,-4.2,11.2,14.5,15.3,15.9
1714669200,-4.5,9.8,12.3,12.7,13
1714672800,-4.9,9.6,11.5,11.9,11.4
1714676400,-5,6.6,8.7,9.3,10.3
1714680000,-4.9,6.8,9.2,9.8,10.6
1714683600,-5,7.1,9,9.7,10.7
1714687200,-5.2,6.3,8.5,9.5,11.3
1714690800,-5.4,4.1,7,8.4,10.5
1714694400,-6.5,4.7,7.2,8.6,10.9
1714698000,-6.8,5.4,5.6,7.6,10.1
1714701600,-6,0.8,6.5,8.3,10.8
1714705200,-6.3,2,8.2,9.8,11.6
1714708800,-7.1,5.8,7.4,8.4,9.7
1714712400,-6.7,5,2.3,3.6,5.1
1714716000,-3.8,1.5,3.3,4.3,5.8
1714719600,-3.2,3.5,2.1,2.3,2.9
1714723200,-2.3,2.9,3.6,3.6,3.6
1714726800,-1.6,4.6,4.5,4.3,4
1714730400,-1.1,7.4,7.6,7.6,7.1
1714734000,-1,10.4,11.2,11,10.7
1714737600,-0.9,12.2,12.8,12.7,12.5
1714741200,-0.4,11.8,13,13.2,12.8
1714744800,-0.1,12.2,15.5,15.6,15.6
1714748400,-0.2,14.4,21.6,21.9,21.9
1714752000,-0.7,14.1,18,18.1,18.2
1714755600,-1.3,11.8,15.3,15.7,15.8
1714759200,-2.1,11.2,14.5,15.6,16.3
1714762800,-2.7,9.1,9.7,10.4,11.5
1714766400,-2.8,5.4,5.2,5.5,6.1
1714770000,-3,2.9,5,5.5,6.2
1714773600,-3.1,3.6,3.4,4.3,5.8
1714777200,-3.1,1.3,3.1,4.3,5.4
1714780800,-4,6,8.5,9,9.7
1714784400,-3.9,5,7.5,8.5,9.4
1714788000,-3.9,3.1,6,7,8.4
1714791600,-3.4,5.6,8.1,9.3,10.5
1714795200,-3.2,5.6,8.1,9.1,10.2
1714798800,-2.9,2.1,4.6,5.6,6.9
1714802400,-2.1,1,0,1,2.3
1714806000,-0.6,2.6,3,2.6,2.6
1714809600,0.6,5.1,5.4,5.4,5.4
1714813200,1.4,6.9,7.2,7.2,7.2
1714816800,2,9.2,9.5,9.4,9.4
1714820400,1.3,9.9,10.5,10.5,10.4
1714824000,0.6,8.4,9,8.9,8.7
1714827600,0.7,9,10,9.9,9.9
1714831200,0.3,10.2,10.7,10.6,10.4
1714834800,0.4,8,8.6,8.4,8
1714838400,0.4,8.4,8.9,8.7,8.7
1714842000,0.6,7.1,7.7,7.7,7.4
1714845600,0.2,3.8,3.8,3.6,3.6
1714849200,-0.2,3.6,3.6,3.6,4.3
1714852800,-0.4,4.3,5.2,5.6,6
1714856400,-0.4,6.6,7.1,7.6,7.7
1714860000,-0.7,6.3,7,7.4,8.2
1714863600,-1,8,10.2,11,12.1
1714867200,-1.4,8.6,9.7,9.9,10.5
1714870800,-1.2,8,9,9.7,10.8
1714874400,-1,6.1,8.2,9.7,11.1
1714878000,-0.7,9.5,12.1,13.2,14.8
1714881600,-0.4,9.7,12.5,13.8,15.2
1714885200,0.1,7.1,10,11.1,12.5
1714888800,0.4,5.6,6.9,7.5,8.7
1714892400,1.9,5.4,5.7,5.7,6
1714896000,2.5,10,10.6,10.6,10.6
1714899600,3.3,8.2,8.8,8.8,8.7
1714903200,4.7,10.9,11.1,11,10.9
1714906800,4.8,9.8,10,10.2,10.2
1714910400,5.1,12.2,12.8,13.1,13
1714914000,4,11.2,12.2,12.6,13
1714917600,4.3,14.8,16.8,17.4,17.7
1714921200,4.6,15.4,17.1,17.7,18.2
1714924800,4.2,13.9,15.6,16.1,16.5
1714928400,3.4,10.9,12.8,13.7,14.4
1714932000,2.8,9.4,11.4,12.1,12.9
1714935600,2.4,10.1,13,14,15
1714939200,2,8.7,11.8,13.2,14.3
1714942800,1.4,9,13.4,15,16.2
1714946400,1.1,10.3,15.5,17.2,18.5
1714950000,1.1,12.3,17.8,19.6,21.4
1714953600,-0.1,18.4,25,26.8,28.4
1714957200,-0.9,14.8,20.5,22.2,23.7
1714960800,-1.4,12.2,17.6,19.3,20.8
1714964400,-1,11.1,15.5,17,18.3
1714968000,-1.4,17.1,23.3,25,26
1714971600,-1.5,15.9,21,23,24.5
1714975200,-1.7,20,27.7,30.3,32.9
1714978800,-2,21.6,28.2,29.8,31.4
1714982400,-1.3,19.4,25.8,28.1,30.3
1714986000,-1.4,17,23,25.1,27.5
1714989600,-1.3,19.2,25.3,27.7,30.2
1714993200,-1.2,14.8,19.7,21.6,23.3
1714996800,-0.7,23.8,30.3,32.5,34.5
1715000400,-0.1,20.4,24.7,26.2,27.6
1715004000,0.3,14.3,17.1,18.4,19.2
1715007600,0.6,12.2,14,14.7,15.4
1715011200,0.2,7.6,8.7,9.4,10
1715014800,0.1,5.6,6.2,6.4,6.8
1715018400,0,4.1,4.2,4.3,4.5
1715022000,-0.2,3.6,4.1,4.5,4.7
1715025600,-0.2,2.3,3.1,3.4,3.7
1715029200,-0.4,3.1,3.9,4.4,4.7
1715032800,-0.7,3.9,4.7,5.2,5.4
1715036400,-0.8,3.3,3.4,4,4.6
1715040000,-1.9,1.4,1.8,1.8,1.8
1715043600,-1.9,4.5,5,5,5.2
1715047200,-1.8,2.2,2.3,2.6,3.1
1715050800,-2.3,3.4,3.8,3.8,3.6
1715054400,-2.4,2.2,2.5,2.7,3.1
1715058000,-2.3,3.1,3.5,3.9,3.8
1715061600,-1.8,3.4,3.4,3.4,3.3
1715065200,-1.5,6.1,6.1,5.9,5.6
1715068800,-1.2,7.4,7.4,7.1,6.9
1715072400,-0.9,8.2,8.2,7.9,7.1
1715076000,-0.8,6.9,6.9,6.6,6.2
1715079600,-0.2,8.2,7.7,7.4,6.6
1715083200,-1.3,12,12.7,12.7,11.9
1715086800,-1.9,9.8,10.7,10.9,10.7
1715090400,-1.4,5.9,6,6,5.8
1715094000,-0.9,6.5,6.8,6.7,6.7
1715097600,-1.3,10,10.8,10.6,10.1
1715101200,-2.9,8.4,9.8,10,10.3
1715104800,-2.7,6.2,6.9,6.9,7.4
1715108400,-2.6,5.6,6.1,6.1,6.5
1715112000,-2.7,6.9,8,8.7,9.8
1715115600,-2.6,7.1,8.9,10,10.6
1715119200,-2.5,5.4,6,7.1,7.8
1715122800,-2.2,6.1,7.6,8.7,9.8
1715126400,-3.4,9.6,11.9,12.6,13
1715130000,-3.7,9.5,11.5,12.3,12.9
1715133600,-3.5,8.9,10.4,10.7,11
1715137200,-3.4,8.3,10.1,10.9,11.7
1715140800,-3.3,7.4,9,9.7,10.5
1715144400,-3,4.3,4.7,5.4,6
1715148000,-2,2.5,3.1,4.3,5.7
1715151600,-1.3,5,5.2,6.5,8.2
1715155200,-0.2,5.6,6,6,6.4
1715158800,0.8,7.7,8.8,9.1,9.4
1715162400,1.6,10.4,11.3,11.5,12
1715166000,2.4,6.8,7.4,7.6,7.5
1715169600,0.4,3.9,3.7,3.3,2.9
1715173200,0,3.3,4.7,5.8,6.5
1715176800,2.6,5,5.2,5.3,5.5
1715180400,1.7,5.1,5.4,5.5,5.2
1715184000,2.2,7.3,8.1,8.6,8.7
1715187600,1.5,7.3,8.4,8.8,9
1715191200,1.2,5.5,6.3,6.8,7.1
1715194800,0.3,5.2,6.1,7,7.9
1715198400,0.2,6.9,8.4,8.3,8.4
1715202000,0.2,8.9,10,10.1,10.4
1715205600,0.1,10,12.1,12.3,13
1715209200,0,9.6,11.6,12.2,13
1715212800,-0.2,8.5,10.3,10.5,10.8
1715216400,-0.5,7.9,9.1,9.4,9.5
1715220000,-0.6,8.8,9.6,9.1,8.6
1715223600,-0.7,7.9,9.2,9,9.1
1715227200,-0.9,7.4,8.4,8.3,7.9
1715230800,-0.6,8.6,9.3,9,8.4
1715234400,0.6,6.2,7,7.2,7.3
1715238000,2,4,4.3,4.3,4.5
1715241600,3.2,4.1,4.6,4.6,4.6
1715245200,4.4,4.9,5.1,5.4,5.6
1715248800,4.3,6.8,6.9,6.9,6.6
1715252400,5.3,7,6.8,6.8,6.3
1715256000,5.2,7.7,7.9,7.7,7.1
1715259600,5.1,10.7,11.2,10.9,10.9
1715263200,4.7,10.7,11.5,11.4,11.4
1715266800,4.5,14.3,16.3,16.5,16.3
1715270400,2.5,7.8,8,7.6,6.8
1715274000,2.9,6.2,6.5,6.5,6.1
1715277600,2.7,4,4.4,4.7,4.7
1715281200,2.2,3.7,4.6,4.9,4.9
1715284800,1.6,3.3,3,2.9,3.1
1715288400,0.9,6.7,6.5,5.8,5.4
1715292000,0.9,8.3,8.4,7.3,6.1
1715295600,0.8,8.7,8.9,7.8,6.1
1715299200,0.5,9,10.3,9.9,8.9
