<CdSiteHydro>;<CdStationHydro>;<TypDeGrdSerieObsElaborHydro>;<PDTSerieObsElaborHydro>;<DtObsElaborHydro>;<StObsElaborHydro>;<ResObsElaborHydro>;<QualifObsElaborHydro>;<MethObsElaborHydro>;<ContObsElaborHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Type de grandeur de la série d'observations élaborées hydrométriques";"Pas de temps de la série d'observations élaborées hydrométriques";"Date d'observation élaborée hydrométrique";"Statut de l'observation élaborée hydrométrique";"Résultat de l'observation élaborée hydrométrique";"Qualification de l'observation élaborée hydrométrique";"Méthode d'obtention du résultat de l'observation élaborée hydrométrique";"Continuité de la donnée de l'observation élaborée hydrométrique";<FLG>
X0310010;X031001001;QmnJ;1;"1960-02-27 00:00:00";16;35100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-02-28 00:00:00";16;37000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-02-29 00:00:00";16;39600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-01 00:00:00";16;41000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-02 00:00:00";16;42000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-03 00:00:00";16;39800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-04 00:00:00";16;39100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-05 00:00:00";16;39600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-06 00:00:00";16;39100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-07 00:00:00";16;38900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-08 00:00:00";16;38000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-09 00:00:00";16;37300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-10 00:00:00";16;36200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-11 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-12 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-13 00:00:00";16;36000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-14 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-15 00:00:00";16;35700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-16 00:00:00";16;36600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-17 00:00:00";16;36200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-18 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-19 00:00:00";16;35300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-20 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-21 00:00:00";16;35500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-22 00:00:00";16;35300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-23 00:00:00";16;36000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-24 00:00:00";16;36400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-25 00:00:00";16;36400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-26 00:00:00";16;36600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-27 00:00:00";16;37100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-28 00:00:00";16;37800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-29 00:00:00";16;38900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-30 00:00:00";16;41500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-03-31 00:00:00";16;43500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-01 00:00:00";16;42500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-02 00:00:00";16;43000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-03 00:00:00";16;44500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-04 00:00:00";16;44000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-05 00:00:00";16;43500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-06 00:00:00";16;45000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-07 00:00:00";16;49000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-08 00:00:00";16;53600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-09 00:00:00";16;58400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-10 00:00:00";16;59000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-11 00:00:00";16;60300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-12 00:00:00";16;69500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-13 00:00:00";16;66500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-14 00:00:00";16;68000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-15 00:00:00";16;65000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-16 00:00:00";16;66500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-17 00:00:00";16;63500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-18 00:00:00";16;63500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-19 00:00:00";16;65000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-20 00:00:00";16;65700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-21 00:00:00";16;66500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-22 00:00:00";16;69500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-23 00:00:00";16;71000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-24 00:00:00";16;72500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-25 00:00:00";16;78500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-26 00:00:00";16;85000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-27 00:00:00";16;80800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-28 00:00:00";16;71000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-29 00:00:00";16;68000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-04-30 00:00:00";16;65000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-01 00:00:00";16;59500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-02 00:00:00";16;55000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-03 00:00:00";16;57500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-04 00:00:00";16;59500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-05 00:00:00";16;64000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-06 00:00:00";16;73000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-07 00:00:00";16;78000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-08 00:00:00";16;87500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-09 00:00:00";16;97500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-10 00:00:00";16;126000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-11 00:00:00";16;146000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-12 00:00:00";16;190000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-13 00:00:00";16;203000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-14 00:00:00";16;230000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-15 00:00:00";16;246000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-16 00:00:00";16;252000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-17 00:00:00";16;253000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-18 00:00:00";16;290000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-19 00:00:00";16;309000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-20 00:00:00";16;235000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-21 00:00:00";16;200000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-22 00:00:00";16;194000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-23 00:00:00";16;194000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-24 00:00:00";16;189000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-25 00:00:00";16;209000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-26 00:00:00";16;224000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-27 00:00:00";16;234000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-28 00:00:00";16;239000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-29 00:00:00";16;237000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-30 00:00:00";16;223000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-05-31 00:00:00";16;226000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-01 00:00:00";16;230000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-02 00:00:00";16;211000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-03 00:00:00";16;201000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-04 00:00:00";16;194000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-05 00:00:00";16;194000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-06 00:00:00";16;215000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-07 00:00:00";16;225000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-08 00:00:00";16;214000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-09 00:00:00";16;232000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-10 00:00:00";16;244000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-11 00:00:00";16;220000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-12 00:00:00";16;237000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-13 00:00:00";16;217000;20;10;0;<FLG>
